Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
7/1/2018,"3,734","11,614",6.9,51,511,405,69,27,"2,447"
7/2/2018,"3,516","13,852",9.31,103,621,185,48,115,"2,091"
7/3/2018,"3,018","11,022",6.89,44,689,292,25,20,"1,558"
7/4/2018,"2,920","11,140",7.3,32,626,277,23,24,"1,476"
7/5/2018,"2,351","6,408",4,7,"1,104",185,0,0,801
7/6/2018,"2,487","6,717",3.83,3,820,232,0,0,989
7/7/2018,"3,004","10,525",8.62,28,439,184,23,57,"1,511"
7/8/2018,"2,359","4,240",2.35,3,723,198,0,0,798
7/9/2018,"2,667","11,224",7.27,31,801,150,41,36,"1,131"
7/10/2018,"2,670","9,390",5.83,7,765,216,34,6,"1,179"
7/11/2018,"2,505","6,202",3.57,5,702,241,0,0,970
7/12/2018,"2,576","8,219",4.97,6,785,176,39,13,"1,082"
7/13/2018,"2,702","11,072",7.67,23,813,205,9,33,"1,191"
7/14/2018,"3,131","12,793",8.18,5,931,356,16,12,"1,755"
7/15/2018,"3,015","12,039",7.03,8,668,369,0,0,"1,595"
7/16/2018,"3,144","13,035",10.05,28,734,221,47,52,"1,743"
7/17/2018,"2,851","12,144",9.21,34,769,175,8,64,"1,388"
7/18/2018,"2,424","7,090",4.1,4,"1,209",231,0,0,947
7/19/2018,"2,746","9,231",5.53,14,719,258,17,24,"1,286"
7/20/2018,"2,557","8,545",5.16,14,760,230,0,0,"1,008"
7/21/2018,"3,304","14,630",9.3,39,582,294,69,32,"1,950"
7/22/2018,"2,388","6,472",4.02,7,886,170,12,5,810
7/23/2018,"3,079","16,756",11.9,37,"1,160",176,9,95,"1,644"
7/24/2018,"2,483","7,404",4.63,9,775,219,3,10,960
7/25/2018,"3,429","18,084",13.05,30,662,187,28,117,"2,027"
7/26/2018,"3,853","22,305",15.63,27,580,231,45,146,"2,546"
7/27/2018,"2,524","7,878",4.74,6,679,224,6,7,"1,020"
7/28/2018,"3,235","12,097",7.4,26,143,220,91,54,"1,877"
7/29/2018,"3,255","17,494",12.65,21,583,174,53,100,"1,860"
7/30/2018,"2,732","11,366",10.16,29,"1,232",142,5,61,"1,237"
7/31/2018,"2,686","8,721",5.29,4,650,288,6,2,"1,233"
6/1/2018,"2,963","10,706",6.28,7,752,221,40,46,"1,527"
6/2/2018,"2,629","8,967",5.29,14,589,202,12,28,"1,114"
6/3/2018,"2,411","5,189",2.91,2,847,176,22,5,862
6/4/2018,"2,981","8,987",5.49,7,703,247,12,48,"1,502"
6/5/2018,"2,382","6,405",4.08,8,648,175,7,14,841
6/6/2018,"2,896","10,226",6.5,12,752,199,30,47,"1,407"
6/7/2018,"3,001","11,224",7.18,7,715,194,26,70,"1,550"
6/8/2018,"2,587","8,040",4.2,12,737,216,8,11,"1,072"
6/9/2018,"3,756","17,206",13.06,29,473,200,43,141,"2,425"
6/10/2018,"3,716","21,144",15.49,22,572,230,39,136,"2,410"
6/11/2018,"2,356","6,104",3.76,7,815,210,0,0,831
6/12/2018,"2,699","9,572",5.42,5,704,185,51,25,"1,263"
6/13/2018,"2,927","12,160",9.34,26,716,177,49,47,"1,491"
6/14/2018,"2,642","10,963",7.33,18,751,180,20,26,"1,134"
6/15/2018,"2,725","9,693",5.78,5,679,248,27,7,"1,260"
6/16/2018,"3,597","18,706",12.84,15,457,210,34,126,"2,251"
6/17/2018,"2,672","10,295",7.01,8,631,136,10,58,"1,098"
6/18/2018,"2,749","10,545",6.63,7,720,263,12,9,"1,309"
6/19/2018,"2,646","9,345",5.88,4,720,242,23,5,"1,185"
6/20/2018,"3,067","12,570",10.42,28,729,209,11,61,"1,610"
6/21/2018,"2,629","8,036",5.02,8,801,175,45,10,"1,088"
6/22/2018,"2,739","8,595",5,12,"1,155",258,12,15,"1,246"
6/23/2018,"3,426","14,349",10.11,26,495,246,33,90,"2,049"
6/24/2018,"3,721","16,829",10.84,38,483,208,117,100,"2,447"
6/25/2018,"2,717","9,922",5.43,7,744,216,45,12,"1,275"
6/26/2018,"2,702","9,903",6.24,7,744,208,40,12,"1,217"
6/27/2018,"2,669","9,351",5.93,6,655,208,31,3,"1,175"
6/28/2018,"2,273","5,492",3.3,6,827,154,0,0,669
6/29/2018,"2,661","9,309",5.84,7,751,251,9,0,"1,169"
6/30/2018,"3,825","17,055",10.58,83,680,378,64,60,"2,522"
