Date,General,Georgia Tech,News,Social Media,Sports,Video Streaming,Work,Total
6/1/2018,265,0,0,0,0,0,0,265
6/2/2018,3853,0,0,0,208,121,0,4182
6/3/2018,2373,0,0,345,584,6267,0,9569
6/4/2018,1103,158,0,10,0,3379,0,4650
6/5/2018,360,6,0,0,0,2843,0,3209
6/6/2018,85,0,0,0,0,168,0,253
6/7/2018,29,0,0,0,0,617,0,646
6/8/2018,1161,0,0,0,0,12,0,1173
6/9/2018,1318,314,0,330,0,2350,116,4428
6/10/2018,3867,168,0,112,0,583,10,4740
6/11/2018,0,0,0,0,0,0,0,0
6/12/2018,2916,1222,0,110,0,3,206,4457
6/13/2018,2922,284,0,0,0,0,1,3207
6/14/2018,2378,6,0,0,0,0,0,2384
6/15/2018,670,0,0,0,0,0,0,670
6/16/2018,4898,0,0,0,0,610,0,5508
6/17/2018,2214,174,0,403,0,0,0,2791
6/18/2018,1076,0,0,132,0,0,0,1208
6/19/2018,1387,135,0,4,0,54,794,2374
6/20/2018,1007,105,0,0,0,0,1516,2628
6/21/2018,648,91,0,0,0,0,115,854
6/22/2018,683,366,0,187,312,0,1345,2893
6/23/2018,3443,8,0,661,365,0,927,5404
6/24/2018,3805,54,0,8,442,1146,6,5461
6/25/2018,819,0,0,0,98,1284,0,2201
6/26/2018,4328,0,136,0,0,0,1783,6247
6/27/2018,84,0,0,0,0,0,131,215
6/28/2018,1189,137,0,0,79,0,4658,6063
6/29/2018,887,0,0,0,0,0,930,1817
6/30/2018,0,0,0,0,0,0,0,0
7/1/2018,0,0,0,0,0,0,0,0
7/2/2018,0,0,0,0,0,0,0,0
7/3/2018,0,0,0,0,0,0,0,0
7/4/2018,0,0,0,0,0,0,0,0
7/5/2018,4600,33,0,0,0,0,1570,6203
7/6/2018,518,139,0,0,0,0,3624,4281
7/7/2018,6244,0,0,959,519,0,138,7860
7/8/2018,10549,0,0,14,53,3748,160,14524
7/9/2018,2794,20,0,0,0,0,1320,4134
7/10/2018,1449,236,0,0,179,0,4064,5928
7/11/2018,2388,0,0,299,0,0,3341,6028
7/12/2018,3753,265,0,121,649,18,1543,6349
7/13/2018,1107,326,0,0,0,106,1229,2768
7/14/2018,0,0,0,0,0,0,0,0
7/15/2018,0,0,0,0,0,0,0,0
7/16/2018,2296,75,0,0,0,0,774,3145
7/17/2018,3220,0,0,0,0,0,1600,4820
7/18/2018,2203,95,0,16,0,2205,771,5290
7/19/2018,689,79,0,271,0,0,594,1633
7/20/2018,245,0,0,0,0,0,11,256
7/21/2018,0,0,0,0,0,0,0,0
7/22/2018,0,0,0,0,0,0,0,0
7/23/2018,2831,0,0,1346,26,0,667,4870
7/24/2018,429,88,0,1,0,0,928,1446
7/25/2018,644,532,0,56,0,0,250,1482
7/26/2018,2297,249,0,0,0,0,1049,3595
7/27/2018,0,0,0,0,0,0,0,0
7/28/2018,5905,31,3,0,597,0,6,6542
7/29/2018,7605,0,31,0,503,15,16,8170
7/30/2018,505,308,0,0,3,0,700,1516
7/31/2018,564,1670,0,160,503,0,276,3173
